epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.9961,0.58726,3.9326,0.88009,0.00369,1,0.26645,0.24009,0.41118,4.10724,0.75262,9.09e-05,9.09e-05,9.09e-05
2,115.139,0.44959,3.23192,0.85314,0.00392,1,0.26921,0.25891,0.25188,4.0099,0.72398,0.000189,0.000189,0.000189
3,171.704,0.43005,2.75448,0.85747,0.00444,1,0.37362,0.34741,0.3193,3.7845,0.73113,0.000285121,0.000285121,0.000285121
4,216.898,0.40626,2.35674,0.85332,0.98638,0.14286,0.49277,0.47067,0.3176,3.51169,0.73155,0.000379261,0.000379261,0.000379261
5,271.993,0.42124,1.98783,0.84847,1,0.15523,0.63629,0.59749,0.29787,3.70793,0.76929,0.000471422,0.000471422,0.000471422
6,322.337,0.4399,1.78088,0.87971,0.84216,0.38095,0.62122,0.53786,0.66773,3.79629,0.95742,0.000561603,0.000561603,0.000561603
7,367.197,0.41141,1.65573,0.86492,0.83451,0.42857,0.68489,0.58701,0.49428,3.19177,0.80754,0.000649804,0.000649804,0.000649804
8,412.132,0.38556,1.58577,0.84968,0.93004,0.59441,0.80298,0.6793,0.45475,2.73549,0.81296,0.000736025,0.000736025,0.000736025
9,456.932,0.39749,1.43884,0.85612,0.91537,0.54244,0.84288,0.77761,0.40189,2.86924,0.81645,0.000820267,0.000820267,0.000820267
10,502.377,0.36832,1.4848,0.84888,0.76522,0.75579,0.83539,0.76588,0.41185,2.32314,0.76681,0.000828008,0.000828008,0.000828008
11,548.144,0.34976,1.43283,0.86071,0.75386,0.87705,0.8927,0.87066,0.30168,1.95344,0.75294,0.000819009,0.000819009,0.000819009
12,593.766,0.3236,1.35872,0.82955,0.63634,0.96702,0.88631,0.82603,0.387,2.30238,0.76508,0.00081001,0.00081001,0.00081001
13,638.444,0.32381,1.35073,0.8188,0.60297,0.95227,0.85142,0.81181,0.33033,3.24766,0.77475,0.000801011,0.000801011,0.000801011
14,683.431,0.32015,1.25675,0.82557,0.78707,0.96669,0.88641,0.86568,0.28871,2.20206,0.80912,0.000792012,0.000792012,0.000792012
15,728.087,0.29902,1.22639,0.84416,0.86626,0.81537,0.90223,0.8732,0.28347,1.92047,0.81995,0.000783013,0.000783013,0.000783013
16,773.026,0.29694,1.25503,0.83377,0.80369,0.95238,0.90941,0.87251,0.28554,1.69465,0.84383,0.000774013,0.000774013,0.000774013
