epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,558.867,0.84953,4.39512,1.49436,0.01619,0.0274,0.00386,0.00318,0.5792,4.84656,1.04052,6.86972e-05,6.86972e-05,6.86972e-05
2,1049.8,0.46305,4.01586,1.22904,0.44333,0.18574,0.09836,0.08398,0.52811,4.08697,0.88881,0.000133476,0.000133476,0.000133476
3,1508.95,0.43798,3.61591,1.2007,0.36963,0.2748,0.22818,0.20504,0.42884,3.70462,0.79943,0.000193678,0.000193678,0.000193678
4,1968.48,0.42877,3.21804,1.18872,0.53913,0.42523,0.43808,0.37816,0.50424,3.19703,0.84811,0.000187408,0.000187408,0.000187408
5,2427.52,0.41063,2.88133,1.1697,0.57517,0.46851,0.56642,0.51705,0.41816,2.7432,0.74077,0.000180544,0.000180544,0.000180544
6,2885.99,0.38683,2.61439,1.15155,0.60879,0.60146,0.68604,0.64567,0.36195,2.41733,0.6553,0.00017368,0.00017368,0.00017368
7,3344.49,0.37288,2.42471,1.13373,0.60974,0.71066,0.75508,0.65664,0.43533,2.3231,0.69697,0.000166816,0.000166816,0.000166816
8,3805,0.34973,2.21241,1.10949,0.74694,0.73724,0.84374,0.79591,0.31937,1.87649,0.60516,0.000159952,0.000159952,0.000159952
9,4264.88,0.33406,2.04816,1.10443,0.85079,0.75807,0.89082,0.82944,0.34055,1.68895,0.62864,0.000153088,0.000153088,0.000153088
10,4723.31,0.31467,1.92085,1.08513,0.81167,0.8611,0.92784,0.87172,0.33243,1.53693,0.62944,0.000146224,0.000146224,0.000146224
11,5182.23,0.30916,1.78527,1.08004,0.85966,0.88768,0.94967,0.91588,0.26688,1.37416,0.54211,0.00013936,0.00013936,0.00013936
12,5679.72,0.30121,1.72069,1.07153,0.90725,0.90225,0.96824,0.91328,0.29858,1.26947,0.58173,0.000132496,0.000132496,0.000132496
13,6223.62,0.28924,1.65192,1.0686,0.89153,0.90255,0.97226,0.93952,0.25555,1.22739,0.52737,0.000125632,0.000125632,0.000125632
14,6768,0.28011,1.58021,1.05334,0.91849,0.93462,0.98288,0.97117,0.25688,1.10766,0.52585,0.000118768,0.000118768,0.000118768
15,7310.2,0.27936,1.52289,1.05202,0.95123,0.95619,0.98686,0.93514,0.30238,1.05856,0.5792,0.000111904,0.000111904,0.000111904
16,7844.94,0.26938,1.46494,1.05233,0.93828,0.94634,0.99041,0.97829,0.23363,1.03203,0.49348,0.00010504,0.00010504,0.00010504
17,8328.25,0.27776,1.44557,1.0568,0.91823,0.92274,0.97815,0.94501,0.28957,1.05896,0.56226,9.8176e-05,9.8176e-05,9.8176e-05
18,8874.94,0.27087,1.40253,1.05024,0.92739,0.95784,0.98724,0.95828,0.27777,0.9984,0.53905,9.1312e-05,9.1312e-05,9.1312e-05
19,9420.06,0.25168,1.30922,1.0357,0.94495,0.95945,0.98885,0.9656,0.25099,0.99737,0.5193,8.4448e-05,8.4448e-05,8.4448e-05
20,9962.22,0.26057,1.33191,1.04317,0.94821,0.96665,0.99113,0.978,0.23592,0.92035,0.50018,7.7584e-05,7.7584e-05,7.7584e-05
21,10489.3,0.12739,1.16289,0.93531,0.95865,0.96635,0.99055,0.98394,0.20535,0.94008,0.44658,7.072e-05,7.072e-05,7.072e-05
22,11014.3,0.09495,0.90637,0.90238,0.96915,0.95525,0.9933,0.98744,0.19021,0.84603,0.41658,6.3856e-05,6.3856e-05,6.3856e-05
23,11541.4,0.08483,0.82854,0.90176,0.97047,0.97572,0.99361,0.99203,0.174,0.79682,0.39609,5.6992e-05,5.6992e-05,5.6992e-05
24,12068.9,0.07849,0.78115,0.90251,0.98347,0.97595,0.99435,0.99071,0.16879,0.79121,0.38496,5.0128e-05,5.0128e-05,5.0128e-05
