epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3566,1.69397,4.14241,1.44289,0.00092,0.0037,1e-05,0,1.04222,3.72648,0.97317,6.25e-05,6.25e-05,6.25e-05
2,64.5668,1.26703,3.52719,1.11399,0.05358,0.21811,0.08206,0.03651,1.06098,3.54947,0.92352,0.000136139,0.000136139,0.000136139
3,95.7452,1.20004,2.31289,1.01679,0.19127,0.95071,0.88714,0.49573,1.01652,3.00213,0.87125,0.000208293,0.000208293,0.000208293
4,127.172,1.15571,1.60493,1.00424,0.99525,0.77423,0.95557,0.63233,1.09615,2.18924,0.86955,0.000278961,0.000278961,0.000278961
5,157.873,1.07635,1.1406,0.96106,0.99192,0.83795,0.9717,0.63135,1.15638,1.95653,0.8784,0.000348145,0.000348145,0.000348145
6,188.631,1.04175,0.92127,0.96147,0.98464,0.86904,0.97936,0.66995,1.03791,1.63691,0.8706,0.000415844,0.000415844,0.000415844
7,219.59,1.02258,0.83713,0.96308,0.97545,0.93038,0.98105,0.69973,0.98091,1.27043,0.90187,0.000482057,0.000482057,0.000482057
8,250.578,1.00327,0.7655,0.97494,0.96634,0.93038,0.97458,0.71344,0.97139,1.27459,0.91958,0.000546786,0.000546786,0.000546786
9,281.907,1.02555,0.7772,0.99451,0.98735,0.96145,0.98205,0.74619,0.89754,1.18584,0.95329,0.00061003,0.00061003,0.00061003
10,312.471,0.97884,0.7205,0.98195,0.98189,0.96874,0.98674,0.72204,0.93757,0.9842,0.98221,0.000671789,0.000671789,0.000671789
11,342.994,0.94129,0.6829,0.96666,0.98181,0.9809,0.99071,0.7552,0.85458,0.79537,0.97213,0.000732063,0.000732063,0.000732063
12,373.731,0.93005,0.69592,0.94979,0.97345,0.99014,0.9881,0.76039,0.85044,0.8231,0.93928,0.000790851,0.000790851,0.000790851
13,404.587,0.9216,0.64523,0.93373,0.97221,0.9915,0.97666,0.7436,0.85642,0.72182,0.93398,0.000848155,0.000848155,0.000848155
14,435.911,0.9343,0.67124,0.95832,0.97408,0.99199,0.98433,0.75901,0.81189,0.61915,0.95602,0.000903974,0.000903974,0.000903974
15,466.927,0.89789,0.64126,0.95872,0.97435,0.98891,0.98888,0.76632,0.82056,0.61462,0.96828,0.000958307,0.000958307,0.000958307
16,498.24,0.88392,0.61183,0.95139,0.97546,0.98829,0.98864,0.76946,0.80929,0.59399,0.96242,0.00101116,0.00101116,0.00101116
17,530.034,0.91986,0.64807,0.93387,0.96987,0.9917,0.98141,0.75913,0.80772,0.62844,0.95231,0.001052,0.001052,0.001052
18,560.987,0.90944,0.62865,0.94191,0.97676,0.99014,0.992,0.77182,0.81107,0.56043,0.95426,0.00103962,0.00103962,0.00103962
19,592.373,0.9277,0.63511,0.95543,0.97574,0.99113,0.99304,0.78247,0.80126,0.53646,0.95331,0.00102725,0.00102725,0.00102725
20,622.925,0.87567,0.59829,0.9444,0.9801,0.98768,0.99299,0.78259,0.79737,0.56721,0.93259,0.00101488,0.00101488,0.00101488
21,653.572,0.88077,0.57529,0.93798,0.97423,0.99384,0.99278,0.78897,0.79044,0.61856,0.91758,0.0010025,0.0010025,0.0010025
22,684.282,0.86121,0.56928,0.93002,0.9758,0.99393,0.99144,0.78207,0.7931,0.56152,0.92941,0.000990125,0.000990125,0.000990125
23,714.944,0.86411,0.5624,0.93474,0.97812,0.99146,0.99212,0.79337,0.76883,0.53797,0.92722,0.00097775,0.00097775,0.00097775
24,746.649,0.89385,0.57895,0.94077,0.97714,0.99137,0.99172,0.78792,0.77246,0.56363,0.92018,0.000965375,0.000965375,0.000965375
25,777.204,0.88688,0.58277,0.95495,0.97693,0.99164,0.99118,0.78354,0.78331,0.57785,0.91456,0.000953,0.000953,0.000953
26,807.837,0.87835,0.56904,0.93105,0.9757,0.99199,0.99051,0.78614,0.78279,0.57597,0.91734,0.000940625,0.000940625,0.000940625
27,838.82,0.86588,0.54944,0.93697,0.97784,0.99076,0.99121,0.78469,0.78958,0.55252,0.91206,0.00092825,0.00092825,0.00092825
28,870.282,0.883,0.54903,0.93779,0.98482,0.98398,0.9927,0.7931,0.76057,0.52517,0.91279,0.000915875,0.000915875,0.000915875
29,901.546,0.87273,0.55828,0.94151,0.98462,0.98641,0.99289,0.78629,0.77377,0.5233,0.92306,0.0009035,0.0009035,0.0009035
30,933.043,0.88349,0.5393,0.93375,0.98705,0.98336,0.99304,0.78542,0.78199,0.54566,0.91505,0.000891125,0.000891125,0.000891125
31,963.856,0.8601,0.53762,0.93737,0.98401,0.98558,0.99249,0.79746,0.74901,0.54246,0.90642,0.00087875,0.00087875,0.00087875
32,994.247,0.84907,0.53399,0.9317,0.984,0.98336,0.99254,0.80078,0.7443,0.54046,0.91036,0.000866375,0.000866375,0.000866375
33,1024.81,0.84532,0.51792,0.92201,0.98766,0.98213,0.99307,0.80641,0.73836,0.53321,0.91387,0.000854,0.000854,0.000854
34,1055.66,0.85497,0.5218,0.92977,0.97698,0.99378,0.99296,0.80355,0.74829,0.52155,0.91347,0.000841625,0.000841625,0.000841625
35,1086,0.84255,0.51574,0.91639,0.97592,0.99445,0.99204,0.79819,0.75095,0.52175,0.90457,0.00082925,0.00082925,0.00082925
36,1116.32,0.83483,0.50135,0.92376,0.9787,0.99068,0.99272,0.80319,0.74091,0.4938,0.91349,0.000816875,0.000816875,0.000816875
37,1146.77,0.83606,0.50565,0.92061,0.97883,0.99137,0.99315,0.79834,0.76415,0.49425,0.92151,0.0008045,0.0008045,0.0008045
38,1178.19,0.85352,0.52809,0.92211,0.98462,0.98626,0.99212,0.81285,0.71825,0.4999,0.89848,0.000792125,0.000792125,0.000792125
39,1209.4,0.84686,0.51652,0.92994,0.98164,0.98808,0.992,0.81072,0.72909,0.49901,0.90229,0.00077975,0.00077975,0.00077975
40,1240.88,0.83505,0.50334,0.92773,0.97824,0.99137,0.99255,0.81132,0.7252,0.4916,0.89659,0.000767375,0.000767375,0.000767375
41,1271.15,0.80068,0.49505,0.92061,0.9764,0.99439,0.99265,0.81384,0.72083,0.47053,0.89697,0.000755,0.000755,0.000755
42,1302.22,0.83961,0.4935,0.92439,0.9764,0.99428,0.99306,0.81237,0.7227,0.46754,0.90149,0.000742625,0.000742625,0.000742625
43,1333.83,0.81884,0.48517,0.92373,0.98283,0.98779,0.99349,0.81278,0.72892,0.46774,0.8984,0.00073025,0.00073025,0.00073025
44,1364.9,0.79572,0.48375,0.912,0.97623,0.99754,0.99332,0.81331,0.72684,0.46171,0.90502,0.000717875,0.000717875,0.000717875
45,1396.19,0.82634,0.48902,0.92002,0.97825,0.99774,0.99333,0.80807,0.7325,0.45892,0.90673,0.0007055,0.0007055,0.0007055
46,1426.82,0.7933,0.47209,0.92132,0.98311,0.99199,0.99342,0.81645,0.71532,0.44778,0.90201,0.000693125,0.000693125,0.000693125
47,1457.64,0.79084,0.46815,0.92277,0.97704,0.99633,0.99336,0.81295,0.72762,0.45622,0.90654,0.00068075,0.00068075,0.00068075
48,1488.72,0.81245,0.4861,0.9227,0.97757,0.99692,0.99335,0.81884,0.71798,0.45795,0.9,0.000668375,0.000668375,0.000668375
49,1520.25,0.81109,0.47576,0.90492,0.97868,0.99692,0.99372,0.81828,0.70818,0.44798,0.89791,0.000656,0.000656,0.000656
50,1551.39,0.8056,0.47357,0.91796,0.98593,0.99296,0.99348,0.81608,0.72044,0.44151,0.90532,0.000643625,0.000643625,0.000643625
51,1581.41,0.79401,0.45972,0.91111,0.98624,0.99322,0.99373,0.81182,0.72558,0.43506,0.9097,0.00063125,0.00063125,0.00063125
52,1612.05,0.80317,0.47389,0.92773,0.98237,0.99566,0.99376,0.81639,0.70687,0.4255,0.90233,0.000618875,0.000618875,0.000618875
53,1642.87,0.79354,0.46706,0.91705,0.98417,0.99445,0.99374,0.81957,0.71264,0.42975,0.90656,0.0006065,0.0006065,0.0006065
54,1674.27,0.79896,0.45824,0.91215,0.98119,0.99659,0.9939,0.81722,0.7259,0.43154,0.91137,0.000594125,0.000594125,0.000594125
55,1704.51,0.76819,0.44164,0.90468,0.98605,0.99076,0.99399,0.81573,0.72163,0.42631,0.90751,0.00058175,0.00058175,0.00058175
56,1735.18,0.80901,0.46511,0.90939,0.98535,0.99476,0.99403,0.82057,0.70604,0.41613,0.90576,0.000569375,0.000569375,0.000569375
57,1766.34,0.82043,0.47005,0.92594,0.98443,0.99507,0.99403,0.81476,0.71371,0.41604,0.90713,0.000557,0.000557,0.000557
58,1796.51,0.80318,0.48748,0.91877,0.98589,0.99384,0.99407,0.82224,0.69884,0.41728,0.89799,0.000544625,0.000544625,0.000544625
59,1827.66,0.81403,0.4733,0.92442,0.98473,0.99329,0.99401,0.81889,0.70926,0.41786,0.90478,0.00053225,0.00053225,0.00053225
60,1858.6,0.8017,0.4664,0.91438,0.98473,0.99308,0.99362,0.8228,0.69703,0.42693,0.89475,0.000519875,0.000519875,0.000519875
61,1889.03,0.80152,0.46484,0.91773,0.98401,0.99384,0.99352,0.81658,0.70472,0.42761,0.89467,0.0005075,0.0005075,0.0005075
62,1918.76,0.76964,0.4427,0.90025,0.98772,0.99147,0.99392,0.82038,0.70311,0.4099,0.90212,0.000495125,0.000495125,0.000495125
63,1949.37,0.79957,0.46242,0.91781,0.98712,0.99197,0.99404,0.8252,0.69099,0.4093,0.89867,0.00048275,0.00048275,0.00048275
64,1980.8,0.80174,0.46188,0.90631,0.98703,0.98953,0.99394,0.80213,0.74636,0.42125,0.9088,0.000470375,0.000470375,0.000470375
65,2011.63,0.80171,0.4485,0.90802,0.9877,0.98916,0.99397,0.81362,0.71941,0.41529,0.90048,0.000458,0.000458,0.000458
66,2043.08,0.80187,0.46351,0.92036,0.9813,0.99754,0.9941,0.82291,0.68796,0.40849,0.89416,0.000445625,0.000445625,0.000445625
67,2073.83,0.78213,0.44553,0.91538,0.9818,0.99723,0.99406,0.82512,0.6832,0.4063,0.89075,0.00043325,0.00043325,0.00043325
68,2104.13,0.75957,0.42953,0.90534,0.98712,0.99175,0.99413,0.82559,0.68882,0.39548,0.89346,0.000420875,0.000420875,0.000420875
69,2135.33,0.79914,0.45877,0.91374,0.98591,0.9919,0.99418,0.82749,0.68438,0.39465,0.8937,0.0004085,0.0004085,0.0004085
70,2166.25,0.77211,0.4436,0.91326,0.98327,0.99569,0.99416,0.82888,0.68413,0.39678,0.89214,0.000396125,0.000396125,0.000396125
71,2197.22,0.76308,0.43213,0.90406,0.98857,0.98891,0.99401,0.82538,0.69686,0.39998,0.89418,0.00038375,0.00038375,0.00038375
72,2227.98,0.79114,0.44443,0.91361,0.98778,0.98829,0.99406,0.82587,0.6851,0.3947,0.89342,0.000371375,0.000371375,0.000371375
73,2258.9,0.77501,0.43847,0.90845,0.97943,0.99771,0.99412,0.82685,0.68531,0.39253,0.89376,0.000359,0.000359,0.000359
